Year,Movie Title,Actors
1927,The Battles of the Coronel and Falkland Islands,
1928,Lights of New York,Helene Costello
1928,Lights of New York, Cullen Landis
1928,Lights of New York, Mary Carr
1928,Lights of New York, Wheeler Oakman
1929,The Broadway Melody,Charles King
1929,The Broadway Melody, Anita Page
1929,The Broadway Melody, Bessie Love
1930,Tom Sawyer,Johnny Whitaker
1930,Tom Sawyer, Celeste Holm
1930,Tom Sawyer, Warren Oates
1930,Tom Sawyer, Jeff East
1931,Frankenstein,Colin Clive
1931,Frankenstein, Mae Clarke
1931,Frankenstein, John Boles
1931,Frankenstein, Boris Karloff
1932,Grand Hotel,Greta Garbo
1932,Grand Hotel, John Barrymore
1932,Grand Hotel, Joan Crawford
1932,Grand Hotel, Wallace Beery
1933,King Kong,Naomi Watts
1933,King Kong, Jack Black
1933,King Kong, Adrien Brody
1933,King Kong, Thomas Kretschmann
1934,The Man Who Knew Too Much,James Stewart
1934,The Man Who Knew Too Much, Doris Day
1934,The Man Who Knew Too Much, Brenda de Banzie
1934,The Man Who Knew Too Much, Bernard Miles
1935,Mutiny on the Bounty,Charles Laughton
1935,Mutiny on the Bounty, Clark Gable
1935,Mutiny on the Bounty, Franchot Tone
1935,Mutiny on the Bounty, Herbert Mundin
1936,Modern Times,Charles Chaplin
1936,Modern Times, Paulette Goddard
1936,Modern Times, Henry Bergman
1936,Modern Times, Tiny Sandford
1937,Snow White and the Seven Dwarfs,Roy Atwell
1937,Snow White and the Seven Dwarfs, Stuart Buchanan
1937,Snow White and the Seven Dwarfs, Adriana Caselotti
1937,Snow White and the Seven Dwarfs, Eddie Collins
1938,You Can't Take It with You,Jean Arthur
1938,You Can't Take It with You, Lionel Barrymore
1938,You Can't Take It with You, James Stewart
1938,You Can't Take It with You, Edward Arnold
1939,Gone with the Wind,Thomas Mitchell
1939,Gone with the Wind, Barbara O'Neil
1939,Gone with the Wind, Vivien Leigh
1939,Gone with the Wind, Evelyn Keyes
1940,Pinocchio,Mel Blanc
1940,Pinocchio, Don Brodie
1940,Pinocchio, Stuart Buchanan
1940,Pinocchio, Walter Catlett
1941,Citizen Kane,Joseph Cotten
1941,Citizen Kane, Dorothy Comingore
1941,Citizen Kane, Agnes Moorehead
1941,Citizen Kane, Ruth Warrick
1942,Bambi,Hardie Albright
1942,Bambi, Stan Alexander
1942,Bambi, Bobette Audrey
1942,Bambi, Peter Behn
1943,Hitler's Children,Bettina Göring
1943,Hitler's Children, Katrin Himmler
1943,Hitler's Children, Monika Hertwig
1943,Hitler's Children, Rainer Höß
1944,Going My Way,Bing Crosby
1944,Going My Way, Barry Fitzgerald
1944,Going My Way, Frank McHugh
1944,Going My Way, James Brown
1945,The Bells of St. Mary's,Bing Crosby
1945,The Bells of St. Mary's, Ingrid Bergman
1945,The Bells of St. Mary's, Henry Travers
1945,The Bells of St. Mary's, William Gargan
1946,Seeds of Destiny,Ralph Bellamy
1947,Gentleman's Agreement,Gregory Peck
1947,Gentleman's Agreement, Dorothy McGuire
1947,Gentleman's Agreement, John Garfield
1947,Gentleman's Agreement, Celeste Holm
1948,Red River,John Wayne
1948,Red River, Montgomery Clift
1948,Red River, Joanne Dru
1948,Red River, Walter Brennan
1949,Samson and Delilah,Hedy Lamarr
1949,Samson and Delilah, Victor Mature
1949,Samson and Delilah, George Sanders
1949,Samson and Delilah, Angela Lansbury
1950,Cinderella,Cate Blanchett
1950,Cinderella, Lily James
1950,Cinderella, Richard Madden
1950,Cinderella, Helena Bonham Carter
1951,Alice in Wonderland,Johnny Depp
1951,Alice in Wonderland, Mia Wasikowska
1951,Alice in Wonderland, Helena Bonham Carter
1951,Alice in Wonderland, Anne Hathaway
1952,The Greatest Show on Earth,Betty Hutton
1952,The Greatest Show on Earth, Cornel Wilde
1952,The Greatest Show on Earth, Charlton Heston
1952,The Greatest Show on Earth, Dorothy Lamour
1953,Peter Pan,Bobby Driscoll
1953,Peter Pan, Kathryn Beaumont
1953,Peter Pan, Hans Conried
1953,Peter Pan, Bill Thompson
1954,Rear Window,James Stewart
1954,Rear Window, Grace Kelly
1954,Rear Window, Wendell Corey
1954,Rear Window, Thelma Ritter
1955,Lady and the Tramp,Peggy Lee
1955,Lady and the Tramp, Larry Roberts
1955,Lady and the Tramp, Bill Baucom
1955,Lady and the Tramp, Verna Felton
1956,The Ten Commandments,Charlton Heston
1956,The Ten Commandments, Yul Brynner
1956,The Ten Commandments, Anne Baxter
1956,The Ten Commandments, Edward G. Robinson
1957,The Bridge on the River Kwai,William Holden
1957,The Bridge on the River Kwai, Alec Guinness
1957,The Bridge on the River Kwai, Jack Hawkins
1957,The Bridge on the River Kwai, Sessue Hayakawa
1958,South Pacific,Rossano Brazzi
1958,South Pacific, Mitzi Gaynor
1958,South Pacific, John Kerr
1958,South Pacific, Ray Walston
1959,Ben-Hur,Charlton Heston
1959,Ben-Hur, Jack Hawkins
1959,Ben-Hur, Haya Harareet
1959,Ben-Hur, Stephen Boyd
1960,Spartacus,Manu Bennett
1960,Spartacus, Daniel Feuerriegel
1960,Spartacus, Peter Mensah
1960,Spartacus, Lucy Lawless
1961,One Hundred and One Dalmatians,Rod Taylor
1961,One Hundred and One Dalmatians, J. Pat O'Malley
1961,One Hundred and One Dalmatians, Betty Lou Gerson
1961,One Hundred and One Dalmatians, Martha Wentworth
1962,Cape Fear,Robert De Niro
1962,Cape Fear, Nick Nolte
1962,Cape Fear, Jessica Lange
1962,Cape Fear, Juliette Lewis
1963,From Russia with Love,Sean Connery
1963,From Russia with Love, Daniela Bianchi
1963,From Russia with Love, Pedro Armendáriz
1963,From Russia with Love, Lotte Lenya
1964,Goldfinger,Sean Connery
1964,Goldfinger, Gert Fröbe
1964,Goldfinger, Honor Blackman
1964,Goldfinger, Shirley Eaton
1965,The Sound of Music,Julie Andrews
1965,The Sound of Music, Christopher Plummer
1965,The Sound of Music, Eleanor Parker
1965,The Sound of Music, Richard Haydn
1966,Hawaii,Manuel Vignau
1966,Hawaii, Mateo Chiarino
1966,Hawaii, Luz Palazón
1966,Hawaii, Antonia De Michelis
1967,The Jungle Book,Neel Sethi
1967,The Jungle Book, Bill Murray
1967,The Jungle Book, Ben Kingsley
1967,The Jungle Book, Idris Elba
1968,2001: A Space Odyssey,Keir Dullea
1968,2001: A Space Odyssey, Gary Lockwood
1968,2001: A Space Odyssey, William Sylvester
1968,2001: A Space Odyssey, Daniel Richter
1969,Butch Cassidy and the Sundance Kid,Paul Newman
1969,Butch Cassidy and the Sundance Kid, Robert Redford
1969,Butch Cassidy and the Sundance Kid, Katharine Ross
1969,Butch Cassidy and the Sundance Kid, Strother Martin
1970,Love Story,Ali MacGraw
1970,Love Story, Ryan O'Neal
1970,Love Story, John Marley
1970,Love Story, Ray Milland
1971,Lady Frankenstein,Joseph Cotten
1971,Lady Frankenstein, Rosalba Neri
1971,Lady Frankenstein, Paul Muller
1971,Lady Frankenstein, Riccardo Pizzuti
1972,The Godfather,Marlon Brando
1972,The Godfather, Al Pacino
1972,The Godfather, James Caan
1972,The Godfather, Richard S. Castellano
1973,The Exorcist,Ellen Burstyn
1973,The Exorcist, Max von Sydow
1973,The Exorcist, Lee J. Cobb
1973,The Exorcist, Kitty Winn
1974,Blazing Saddles,Cleavon Little
1974,Blazing Saddles, Gene Wilder
1974,Blazing Saddles, Slim Pickens
1974,Blazing Saddles, Harvey Korman
1975,Jaws,Roy Scheider
1975,Jaws, Robert Shaw
1975,Jaws, Richard Dreyfuss
1975,Jaws, Lorraine Gary
1976,To Fly!,Ellen Bry
1976,To Fly!, Jennifer Kaye Evans
1977,Star Wars,Mark Hamill
1977,Star Wars, Harrison Ford
1977,Star Wars, Carrie Fisher
1977,Star Wars, Peter Cushing
1978,Superman,Marlon Brando
1978,Superman, Gene Hackman
1978,Superman, Christopher Reeve
1978,Superman, Ned Beatty
1979,Moonraker,Roger Moore
1979,Moonraker, Lois Chiles
1979,Moonraker, Michael Lonsdale
1979,Moonraker, Richard Kiel
1980,The Empire Strikes Back,Mark Hamill
1980,The Empire Strikes Back, Harrison Ford
1980,The Empire Strikes Back, Carrie Fisher
1980,The Empire Strikes Back, Billy Dee Williams
1981,Raiders of the Lost Ark,Harrison Ford
1981,Raiders of the Lost Ark, Karen Allen
1981,Raiders of the Lost Ark, Paul Freeman
1981,Raiders of the Lost Ark, Ronald Lacey
1982,E.T. the Extra-Terrestrial,Dee Wallace
1982,E.T. the Extra-Terrestrial, Henry Thomas
1982,E.T. the Extra-Terrestrial, Peter Coyote
1982,E.T. the Extra-Terrestrial, Robert MacNaughton
1983,Return of the Jedi,Mark Hamill
1983,Return of the Jedi, Harrison Ford
1983,Return of the Jedi, Carrie Fisher
1983,Return of the Jedi, Billy Dee Williams
1984,Indiana Jones and the Temple of Doom,Harrison Ford
1984,Indiana Jones and the Temple of Doom, Kate Capshaw
1984,Indiana Jones and the Temple of Doom, Ke Huy Quan
1984,Indiana Jones and the Temple of Doom, Amrish Puri
1985,Back to the Future,Michael J. Fox
1985,Back to the Future, Christopher Lloyd
1985,Back to the Future, Lea Thompson
1985,Back to the Future, Crispin Glover
1986,Top Gun,Tom Cruise
1986,Top Gun, Kelly McGillis
1986,Top Gun, Val Kilmer
1986,Top Gun, Anthony Edwards
1987,Fatal Attraction,Michael Douglas
1987,Fatal Attraction, Glenn Close
1987,Fatal Attraction, Anne Archer
1987,Fatal Attraction, Ellen Latzen
1988,Rain Man,Dustin Hoffman
1988,Rain Man, Tom Cruise
1988,Rain Man, Valeria Golino
1988,Rain Man, Gerald R. Molen
1989,Indiana Jones and the Last Crusade,Harrison Ford
1989,Indiana Jones and the Last Crusade, Sean Connery
1989,Indiana Jones and the Last Crusade, Denholm Elliott
1989,Indiana Jones and the Last Crusade, Alison Doody
1990,Ghost,Patrick Swayze
1990,Ghost, Demi Moore
1990,Ghost, Tony Goldwyn
1990,Ghost, Stanley Lawrence
1991,Terminator 2: Judgment Day,Arnold Schwarzenegger
1991,Terminator 2: Judgment Day, Linda Hamilton
1991,Terminator 2: Judgment Day, Edward Furlong
1991,Terminator 2: Judgment Day, Robert Patrick
1992,Aladdin,Scott Weinger
1992,Aladdin, Robin Williams
1992,Aladdin, Linda Larkin
1992,Aladdin, Jonathan Freeman
1993,Jurassic Park,Sam Neill
1993,Jurassic Park, Laura Dern
1993,Jurassic Park, Jeff Goldblum
1993,Jurassic Park, Richard Attenborough
1994,The Lion King,Rowan Atkinson
1994,The Lion King, Matthew Broderick
1994,The Lion King, Niketa Calame-Harris
1994,The Lion King, Jim Cummings
1995,Toy Story,Tom Hanks
1995,Toy Story, Tim Allen
1995,Toy Story, Don Rickles
1995,Toy Story, Jim Varney
1996,Independence Day,Will Smith
1996,Independence Day, Bill Pullman
1996,Independence Day, Jeff Goldblum
1996,Independence Day, Mary McDonnell
1997,Titanic,Leonardo DiCaprio
1997,Titanic, Kate Winslet
1997,Titanic, Billy Zane
1997,Titanic, Kathy Bates
1998,Armageddon,Bruce Willis
1998,Armageddon, Billy Bob Thornton
1998,Armageddon, Ben Affleck
1998,Armageddon, Liv Tyler
1999,Star Wars: Episode I - The Phantom Menace,Liam Neeson
1999,Star Wars: Episode I - The Phantom Menace, Ewan McGregor
1999,Star Wars: Episode I - The Phantom Menace, Natalie Portman
1999,Star Wars: Episode I - The Phantom Menace, Jake Lloyd
2000,Mission: Impossible II,Tom Cruise
2000,Mission: Impossible II, Dougray Scott
2000,Mission: Impossible II, Thandie Newton
2000,Mission: Impossible II, Ving Rhames
2001,Harry Potter and the Sorcerer's Stone,Richard Harris
2001,Harry Potter and the Sorcerer's Stone, Maggie Smith
2001,Harry Potter and the Sorcerer's Stone, Robbie Coltrane
2001,Harry Potter and the Sorcerer's Stone, Saunders Triplets
2002,The Lord of the Rings: The Two Towers,Bruce Allpress
2002,The Lord of the Rings: The Two Towers, Sean Astin
2002,The Lord of the Rings: The Two Towers, John Bach
2002,The Lord of the Rings: The Two Towers, Sala Baker
2003,The Lord of the Rings: The Return of the King,Noel Appleby
2003,The Lord of the Rings: The Return of the King, Ali Astin
2003,The Lord of the Rings: The Return of the King, Sean Astin
2003,The Lord of the Rings: The Return of the King, David Aston
2004,Shrek 2,Mike Myers
2004,Shrek 2, Eddie Murphy
2004,Shrek 2, Cameron Diaz
2004,Shrek 2, Julie Andrews
2005,Harry Potter and the Goblet of Fire,Eric Sykes
2005,Harry Potter and the Goblet of Fire, Timothy Spall
2005,Harry Potter and the Goblet of Fire, David Tennant
2005,Harry Potter and the Goblet of Fire, Daniel Radcliffe
2006,Pirates of the Caribbean: Dead Man's Chest,Johnny Depp
2006,Pirates of the Caribbean: Dead Man's Chest, Orlando Bloom
2006,Pirates of the Caribbean: Dead Man's Chest, Keira Knightley
2006,Pirates of the Caribbean: Dead Man's Chest, Jack Davenport
2007,Pirates of the Caribbean: At World's End,Johnny Depp
2007,Pirates of the Caribbean: At World's End, Geoffrey Rush
2007,Pirates of the Caribbean: At World's End, Orlando Bloom
2007,Pirates of the Caribbean: At World's End, Keira Knightley
2008,The Dark Knight,Christian Bale
2008,The Dark Knight, Heath Ledger
2008,The Dark Knight, Aaron Eckhart
2008,The Dark Knight, Michael Caine
2009,Avatar,Sam Worthington
2009,Avatar, Zoe Saldana
2009,Avatar, Sigourney Weaver
2009,Avatar, Stephen Lang
2010,Toy Story 3,Tom Hanks
2010,Toy Story 3, Tim Allen
2010,Toy Story 3, Joan Cusack
2010,Toy Story 3, Ned Beatty
2011,Harry Potter and the Deathly Hallows: Part 2,Ralph Fiennes
2011,Harry Potter and the Deathly Hallows: Part 2, Michael Gambon
2011,Harry Potter and the Deathly Hallows: Part 2, Alan Rickman
2011,Harry Potter and the Deathly Hallows: Part 2, Daniel Radcliffe
2012,The Avengers,Robert Downey Jr.
2012,The Avengers, Chris Evans
2012,The Avengers, Mark Ruffalo
2012,The Avengers, Chris Hemsworth
2013,Frozen,Kristen Bell
2013,Frozen, Idina Menzel
2013,Frozen, Jonathan Groff
2013,Frozen, Josh Gad
2014,Transformers: Age of Extinction,Mark Wahlberg
2014,Transformers: Age of Extinction, Stanley Tucci
2014,Transformers: Age of Extinction, Kelsey Grammer
2014,Transformers: Age of Extinction, Nicola Peltz
2015,Star Wars: The Force Awakens,J.J. Abrams
2015,Star Wars: The Force Awakens, John Boyega
2015,Star Wars: The Force Awakens, Anthony Carboni
2015,Star Wars: The Force Awakens, Gwendoline Christie
2016,Captain America: Civil War,Chris Evans
2016,Captain America: Civil War, Robert Downey Jr.
2016,Captain America: Civil War, Scarlett Johansson
2016,Captain America: Civil War, Sebastian Stan
2017,Star Wars: The Last Jedi,Taylor Clark
2018,Avengers: Infinity War,Robert Downey Jr.
2018,Avengers: Infinity War, Chris Hemsworth
2018,Avengers: Infinity War, Mark Ruffalo
2018,Avengers: Infinity War, Chris Evans
2019,Avengers: Endgame,Robert Downey Jr.
2019,Avengers: Endgame, Chris Evans
2019,Avengers: Endgame, Mark Ruffalo
2019,Avengers: Endgame, Chris Hemsworth
